cd_rgi,nm_rgi,vab_agriculture_brl,vab_industry_brl,vab_services_brl,vab_public_brl,vab_total_brl,population,gdp_per_capita_brl,centroid_lat,centroid_lng
3501,São Paulo,2500000000,110000000000,355000000000,32500000000,500000000000,12325232,40567.89,-23.5505199,-46.6333094
3502,Guarulhos,180000000,8500000000,28000000000,2320000000,39000000000,1392121,28012.45,-23.4538467,-46.5333094
3503,Osasco,95000000,4200000000,15500000000,1205000000,21000000000,699944,30004.87,-23.5322789,-46.7916856
3504,Mogi das Cruzes,420000000,3800000000,9200000000,980000000,14400000000,440000,32727.27,-23.5222789,-46.1883094
3505,Franco da Rocha,125000000,1100000000,2950000000,325000000,4500000000,152000,29605.26,-23.3222789,-46.7333094
3506,Mauá,85000000,2400000000,5500000000,515000000,8500000000,468148,18158.03,-23.6672789,-46.4616856
3507,Santos,180000000,5500000000,18000000000,1820000000,25500000000,433966,58762.75,-23.9638467,-46.3336094
3508,São Vicente,95000000,1800000000,5800000000,605000000,8300000000,365798,22692.31,-23.9638467,-46.3956094
3509,Campinas,1850000000,42000000000,98000000000,9150000000,151000000000,1213792,124412.15,-22.9068467,-47.0628094
3510,Piracicaba,1200000000,8500000000,15500000000,1800000000,27000000000,404142,66811.15,-22.7253921,-47.6492739
3511,Americana,680000000,6200000000,11500000000,1120000000,19500000000,239891,81280.75,-22.7388467,-47.3313094
3512,Rio Claro,580000000,4800000000,9500000000,1120000000,16000000000,206424,77498.45,-22.4110111,-47.5613094
3513,Limeira,720000000,5900000000,11200000000,1180000000,19000000000,306114,62061.19,-22.5647222,-47.4019444
3514,São Carlos,450000000,5200000000,11800000000,1550000000,19000000000,254484,74668.03,-22.0174722,-47.8908333
3515,Araraquara,680000000,4900000000,10200000000,1220000000,17000000000,236072,72009.80,-21.7944722,-48.1758333
3516,São José do Rio Preto,920000000,9500000000,28000000000,3080000000,41500000000,464983,89267.60,-20.8196944,-49.3794444
3517,Catanduva,450000000,2800000000,5800000000,950000000,10000000000,122497,81637.48,-21.1377778,-48.9727778
3518,Votuporanga,380000000,2400000000,4800000000,720000000,8300000000,96418,86087.46,-20.4225000,-49.9730556
3519,Ribeirão Preto,1150000000,15500000000,42000000000,4350000000,63000000000,711825,88516.12,-21.1704444,-47.8102778
3520,Franca,520000000,4200000000,9800000000,1080000000,15600000000,358539,43514.88,-20.5386389,-47.4013889
3521,Barretos,420000000,2900000000,5600000000,880000000,9800000000,122833,79794.84,-20.5572222,-48.5686111
3522,Jaboticabal,380000000,2100000000,4500000000,720000000,7700000000,76795,100266.78,-21.2552778,-48.3227778
3523,Ituverava,220000000,1200000000,2400000000,480000000,4300000000,42323,101598.39,-20.3391667,-47.7797222
3524,Araçatuba,580000000,4200000000,11500000000,1320000000,17600000000,198129,88843.22,-21.2091667,-50.4327778
3525,Birigui,320000000,2800000000,5400000000,680000000,9200000000,123218,74668.49,-21.2886111,-50.3408333
3526,Andradina,280000000,1600000000,3200000000,520000000,5600000000,58884,95100.27,-20.8958333,-51.3791667
3527,Presidente Prudente,620000000,5200000000,14500000000,1680000000,22000000000,230371,95492.08,-22.1258333,-51.3886111
3528,Dracena,180000000,980000000,2200000000,340000000,3700000000,45344,81597.17,-21.4844444,-51.5347222
3529,Tupã,220000000,1400000000,3100000000,480000000,5200000000,68088,76365.51,-21.9347222,-50.5136111
3530,Marília,520000000,4800000000,13500000000,1580000000,20400000000,238882,85411.79,-22.2138889,-49.9463889
3531,Assis,320000000,2200000000,5800000000,780000000,9100000000,105087,86608.43,-22.6613889,-50.4122222
