# Economic Conversion Factors for São Paulo State
# Used to convert between production, VAB, tax revenue, and employment
# Based on IBGE/SEADE 2021 data and reference prototype
#
factor_type,factor_name,agriculture,industry,services,public,unit,description,source
#
# VAB COEFFICIENTS (Production → VAB)
# Percentage of gross production that becomes Valor Adicionado Bruto (Gross Value Added)
# Formula: VAB = Production × VAB_Coefficient
vab_coefficient,vab_production_ratio,0.699,0.291,0.573,0.950,ratio,VAB as percentage of gross production,IBGE 2021
#
# Interpretation:
# - Agriculture: 69.9% of production becomes VAB (rest is intermediate consumption)
# - Industry: 29.1% of production becomes VAB (high intermediate inputs)
# - Services: 57.3% of production becomes VAB
# - Public: 95.0% of production becomes VAB (mostly salaries and direct services)
#
# EMPLOYMENT COEFFICIENTS (VAB → Jobs)
# Number of jobs created per million BRL of VAB in each sector
# Formula: Jobs = (VAB in millions) × Employment_Coefficient
employment,jobs_per_million_brl_vab,12.5,8.1,14.8,11.2,jobs/million BRL,Jobs created per million BRL of VAB,SEADE 2021
#
# Interpretation:
# - Agriculture: 12.5 jobs per million BRL VAB (labor-intensive)
# - Industry: 8.1 jobs per million BRL VAB (capital-intensive)
# - Services: 14.8 jobs per million BRL VAB (most labor-intensive)
# - Public: 11.2 jobs per million BRL VAB
#
# Example calculation:
# If VAB impact in Services = 10 million BRL
# Jobs created = 10 × 14.8 = 148 jobs
#
# TAX REVENUE COEFFICIENTS
# Percentage of VAB that becomes tax revenue (municipal, state, and federal)
# Formula: Tax_Revenue = VAB × Tax_Rate
tax_revenue,effective_tax_rate,0.18,0.18,0.18,0.18,ratio,Tax revenue as percentage of VAB,Brazilian tax system
#
# Note: Uniform 18% rate across sectors is a simplification
# Actual tax burden varies by sector but averages around 18% for state-level analysis
#
# SECTOR SHARES IN SÃO PAULO STATE ECONOMY (2021)
# Reference values for validation and regional distribution
sector_share,percentage_of_state_vab,0.015,0.220,0.710,0.055,ratio,Sector share in total state VAB,IBGE 2021
#
# Interpretation:
# - Agriculture: 1.5% of state VAB (~35 billion BRL)
# - Industry: 22.0% of state VAB (~506 billion BRL)
# - Services: 71.0% of state VAB (~1.63 trillion BRL)
# - Public: 5.5% of state VAB (~127 billion BRL)
# - TOTAL STATE VAB: ~2.3 trillion BRL (2021)
#
# PRODUCTIVITY INDICATORS
# VAB per worker in each sector (thousands BRL/year)
productivity,vab_per_worker_brl_year,80000,123000,67500,89000,BRL/worker/year,Average VAB generated per worker,Calculated from IBGE/SEADE
#
# Interpretation:
# - Industry has highest productivity (123k BRL per worker per year)
# - Agriculture: 80k BRL per worker per year
# - Services: 67.5k BRL per worker per year (brings down average due to informal sector)
# - Public: 89k BRL per worker per year
#
# CARBON EMISSIONS FACTORS (for environmental impact - optional)
# Tons of CO2 equivalent per million BRL of VAB
carbon_emissions,tons_co2_per_million_brl_vab,45.2,125.8,22.3,18.5,tons CO2/million BRL,Carbon emissions intensity,SEEG Brasil 2021
#
# Interpretation:
# - Industry most carbon-intensive (125.8 tons CO2 per million BRL)
# - Agriculture: 45.2 tons CO2 per million BRL (fertilizers, machinery)
# - Services: 22.3 tons CO2 per million BRL (mostly energy)
# - Public: 18.5 tons CO2 per million BRL (lowest)
#
# INVESTMENT TO ANNUAL VAB CONVERSION
# How much annual VAB is generated by a one-time investment (annualization factor)
# Assumes 20-year useful life and 8% discount rate
investment,annual_vab_per_investment_brl,0.12,0.15,0.18,0.10,ratio,Annual VAB generated per BRL invested,Economic modeling
#
# Interpretation:
# - 1 million BRL investment in Services generates ~180k BRL VAB per year
# - 1 million BRL investment in Industry generates ~150k BRL VAB per year
# - 1 million BRL investment in Agriculture generates ~120k BRL VAB per year
# - 1 million BRL investment in Public generates ~100k BRL VAB per year
#
# Note: For shock simulations, we assume immediate full-capacity impact
# Real-world implementation would have ramp-up periods
#
# VALIDATION NOTES:
# ✓ VAB coefficients sum weighted by sector shares ≈ 0.52 (realistic for developed state)
# ✓ Employment coefficients inversely correlated with productivity (correct)
# ✓ Tax rate of 18% aligns with Brazilian effective tax burden
# ✓ Carbon intensities align with SEEG Brasil emissions database
# ✓ Sector shares sum to 100% of state economy
#
# USAGE IN LEONTIEF MODEL:
# 1. User invests X million BRL in sector S
# 2. Leontief inverse calculates total production by sector: P = L × [0, 0, X, 0]
# 3. Convert production to VAB: VAB_s = P_s × vab_coefficient_s
# 4. Calculate jobs: Jobs_s = (VAB_s / 1,000,000) × jobs_per_million_s
# 5. Calculate taxes: Tax = sum(VAB_s) × 0.18
#
# Data quality: ESTIMATED
# Confidence level: MEDIUM (based on official statistics methodology)
# Recommended use: Simulation and scenario analysis, not precise prediction
#
# Last updated: 2025-11-30
# Version: 1.0
# Maintainer: CP2B Maps V3 Development Team
