Setor,Código,Resíduo,FC,FC Justificativa,FCp,FCp Justificativa,FS,FS Justificativa,FL,FL Justificativa,FDE (%),Classificação,Confiança,BMP (m³/kg SV),Potencial SP Anual,Fonte Validação,Observação Crítica
URBANO,URB_LODO_PRIMARIO,Lodo Primário (ETEs),0.85,ETEs centralizam; 85% coletável peneiramento,0.25,CETESB/SABESP: 25% compostagem/agricultura → 75% disponível,0.95,Geração contínua; 95% do ano,0.9,Centralizado ETEs; 15-20km; viável,54.51,🟢 EXCEPCIONAL (40%+),HIGH,0.25,~500k ton/ano,"SABESP 2023, CETESB P4.231",SABESP: ETEs maiores com biodigestores; validar co-investimento
URBANO,URB_LODO_SECUNDARIO,Lodo Secundário (ETEs),0.82,Sistemas secundários; 82% coletável,0.3,CETESB: 30% fertilização → 70% disponível,0.95,Geração contínua; 95% do ano,0.85,Centralizado ETEs; 15-25km; viável,46.35,🟢 EXCEPCIONAL (40%+),HIGH,0.28,~300k ton/ano,"SABESP 2023, CETESB",Maior MO que primário; excelente para biogás
URBANO,URB_FORSU_SEPARADA,FORSU - Fração Orgânica Separada,0.9,Separação na fonte; 90% de pureza,0.35,ABRELPE: 35% uso animal/compostagem → 65% disponível,0.9,Coleta seletiva; variação sazonal ~10%,0.8,Distribuído pontos coleta; 25km; razoável,42.12,🟢 EXCEPCIONAL (40%+),MEDIUM,0.35,~150k ton/ano,"ABRELPE 2023, CETESB","Municipios coleta seletiva: São Paulo, Campinas, Santos"
URBANO,URB_FRACAO_ORGANICA,Fração Orgânica RSU (com contaminação),0.65,Coleta convencional; 65% com contaminação/perdas,0.5,Contaminação requer pré-tratamento; 50% competição,0.9,RSU variação sazonal ~10%,0.7,Disperso em cidade; 30-40km; marginal,20.48,🟡 RAZOÁVEL (10-14%),MEDIUM,0.3,~200k ton/ano,"ABRELPE 2023, dados municipais",Contaminação vidro/metal reduz BMP 30-40%
URBANO,URB_FRACAO_SECA,"Fração Seca RSU (papel, plástico)",0.2,Fração seca não-viável; apenas 20% aproveitável,0.95,Fração seca compete energia térmica; 95% não-disponível,0.9,RSU variação sazonal ~10%,0.5,Energia baixa; transporte não-econômico,0.45,⚫ INVIÁVEL (0%),LOW,0.05,Não-viável,IEA Bioenergy Task 37,Recicláveis prioritários; não adequado biogás
PECUÁRIA,PEC_DEJETOS_LIQUIDOS_SUINO,Dejetos Líquidos Suínos,0.9,Sistemas confinados; 90% coletável,0.45,EMBRAPA: 45% fertirrigação direta → 55% disponível,0.95,Geração contínua; 95% do ano,0.75,Concentrado regiões; viável transporte,35.27,🟢 MUITO BOM (25-39%),HIGH,0.32,"~2,5M m³/ano","EMBRAPA 2022, ABPA","Alto potencial metanogênico; Marília, Sorocaba concentram"
PECUÁRIA,PEC_DEJETOS_LIQUIDOS_BOVINO,Dejetos Líquidos Bovino,0.85,Sistemas semi-confinados; 85% coletável,0.6,EMBRAPA: 60% fertirrigação → 40% disponível,0.9,Variação sazonal moderada ~10%,0.65,Dispersão geográfica; transporte mais caro,14.94,🟡 RAZOÁVEL (10-14%),HIGH,0.17,~8M m³/ano,EMBRAPA Gado de Leite 2022,Potencial menor suínos; necessita co-digestão
PECUÁRIA,PEC_ESTERCO_BOVINO,Esterco Bovino,0.8,Confinamento; 80% coletável,0.55,EMBRAPA: 55% fertilização → 45% disponível,0.85,Sazonalidade moderada ~15%,0.7,Dispersão regional; transporte moderado,19.32,🟡 BOM (15-24%),HIGH,0.18,~15M ton/ano,EMBRAPA protocolos validados,Necessita co-digestão; dispersão geográfica
PECUÁRIA,PEC_ESTERCO_SOLIDO_SUINO,Esterco Sólido Suínos,0.85,Sistemas sólidos; 85% coletável com raspagem,0.4,EMBRAPA: 40% compostagem/cama → 60% disponível,0.95,Geração contínua; 95% do ano,0.75,Concentrado em regiões; viável,36.34,🟢 MUITO BOM (25-39%),MEDIUM,0.25,"~1,8M ton/ano","ABPA 2024, EMBRAPA",Necessita validação taxa confinamento real
PECUÁRIA,PEC_CAMA_AVIARIO,Cama de Aviário,0.8,Sistemas comerciais; 80% coletável,0.5,Compete com ração animal; 50% não-disponível,0.9,Safra continua; variação ~10%,0.75,Concentrado litoral; 30km transporte,27.0,🟢 MUITO BOM (25-39%),MEDIUM,0.22,~800k ton/ano,ABPA 2024,Competição ração animal não quantificada; validar
PECUÁRIA,PEC_DEJETOS_FRESCOS_AVES,Dejetos Frescos Aves (sem cama),0.75,Sistemas de coleta variáveis; 75% coletável,0.55,Compete com ração animal; 55% não-disponível,0.9,Geração continua; pequena variação,0.7,Dispersão moderada; 35-45km transporte,18.66,🟡 BOM (15-24%),MEDIUM,0.28,~500k ton/ano,"ABPA 2024, literatura",Sistemas produção SP mapeamento necessário
PECUÁRIA,PEC_GORDURA_SEBO,Gordura e Sebo (frigoríficos),0.8,Frigoríficos centralizam; 80% coletável,0.3,Compete biodiesel/sabão; 30% competição → 70% disponível,0.95,Geração contínua; 95% do ano,0.85,Frigoríficos em polos; 20-25km; viável,45.22,🟢 EXCEPCIONAL (40%+),MEDIUM,0.45,~100k ton/ano,"Frigorífico associações, BRENCO",Infraestrutura frigoríficos desconhecida
PECUÁRIA,PEC_SANGUE_ANIMAL,Sangue Animal,0.75,Coleta em frigoríficos; 75% coletável,0.35,Compete proteína animal (ração); 35% competição,0.95,Geração contínua; 95% do ano,0.8,Frigoríficos polos regionais; viável,37.05,🟢 MUITO BOM (25-39%),MEDIUM,0.4,~60k ton/ano,ABNT NBR associações,Coleta pequenos abatedouros incerta; sanitário
AGRICULTURA,AG_CANA_BAGACO,Bagaço de Cana,0.95,95% gerado em usinas centralizadas,1.0,🚨 CRÍTICO: 100% cogeração CETESB obrigatória → 0% disponível,0.9,Safra cana: Abril-Novembro,0.9,Co-localizado; <5km; alta viabilidade,0.0,⚫ INVIÁVEL (0%),HIGH,0.35,ZERO (inviável),"UNICA 2024, CETESB, RenovaBio",🚨 FDE=0% INVIÁVEL: 21.218 GWh bioeletricidade UNICA 2024
AGRICULTURA,AG_CANA_PALHA,Palha de Cana,0.85,85% coletável mecanicamente,0.9,🚨 CRÍTICO: 90% retenção solo 5-15t/ha UNESP → 10% disponível,0.9,Safra cana: Abril-Novembro,0.85,Co-localizado; <10km econômico,6.5,🟠 REGULAR (5-9%),MEDIUM,0.3,~50k ton/ano,"UNESP erosão, EMBRAPA",🚨 FDE REAL=0-2%: Retenção solo obrigatória
